energy,energy_per_atom,volume,formation_energy_per_atom,unit_cell_formula,pretty_formula,elements,nelements,e_above_hull,band_gap,density,total_magnetization,material_id,crystal_system,G_Reuss,G_VRH,G_Voigt,G_Voigt_Reuss_Hill,K_Reuss,K_VRH,K_Voigt,K_Voigt_Reuss_Hill,elastic_anisotropy,C11,C22,C33,C44,C55,C66,C12,C13,C23,homogeneous_poisson,poisson_ratio,universal_anisotropy
-10.21587712,-3.4052923733333333,69.38190038884245,-0.4509348944444446,"{'Mg': 1.0, 'Sn': 1.0, 'Au': 1.0}",MgSnAu,"['Mg', 'Sn', 'Au']",3,0.0,0.0,8.136886912645753,0.0017241,mp-5549,cubic,22.0,23.0,24.0,23.0,67.0,67.0,67.0,67.0,0.56,87.0,87.0,87.0,30.0,30.0,30.0,56.0,56.0,56.0,0.34,0.34,0.56
-11.08040583,-2.7701014575,72.87043075744765,-0.4450508499999999,"{'Mg': 2.0, 'Ag': 1.0, 'Au': 1.0}",Mg2AgAu,"['Mg', 'Ag', 'Au']",3,0.0,0.0,8.054142684615984,0.0002567,mp-864978,cubic,26.0,31.0,36.0,31.0,73.0,73.0,73.0,73.0,1.96,93.0,93.0,93.0,50.0,50.0,50.0,63.0,63.0,63.0,0.31,0.31,1.96
-25.11171589,-6.2779289725,76.44088850731737,-0.12231546333333299,"{'Mg': 1.0, 'Sc': 2.0, 'Tc': 1.0}",MgSc2Tc,"['Mg', 'Sc', 'Tc']",3,0.0,0.0,4.610023950834155,0.031575,mp-866082,cubic,23.0,23.0,23.0,23.0,90.0,90.0,90.0,90.0,0.0,122.0,122.0,122.0,23.0,23.0,23.0,74.0,74.0,74.0,0.38,0.38,0.0
-18.18232119,-4.5455802975,90.27382995155776,-0.29220083333333324,"{'Mg': 1.0, 'Sc': 2.0, 'In': 1.0}",MgSc2In,"['Mg', 'Sc', 'In']",3,0.0,0.0,4.212973716390909,0.3603034,mp-977586,cubic,28.0,38.0,49.0,38.0,43.0,43.0,43.0,43.0,3.83,62.0,62.0,62.0,71.0,71.0,71.0,34.0,34.0,34.0,0.16,0.16,3.83
-21.6498658,-5.41246645,69.28634077867127,-0.8418817245833328,"{'Mg': 1.0, 'Sc': 1.0, 'Pd': 2.0}",MgScPd2,"['Mg', 'Sc', 'Pd']",3,0.0,0.0,6.760922569080031,0.0025999,mp-977566,cubic,29.0,31.0,33.0,31.0,97.0,97.0,97.0,97.0,0.78,123.0,123.0,123.0,43.0,43.0,43.0,84.0,84.0,84.0,0.36,0.36,0.78
-14.74708746,-3.686771865,77.66035330088644,-0.28816608125,"{'Mg': 1.0, 'Sc': 1.0, 'Ag': 2.0}",MgScAg2,"['Mg', 'Sc', 'Ag']",3,0.0,0.0,6.093832313876263,0.0044733,mp-977554,cubic,24.0,29.0,34.0,29.0,86.0,86.0,86.0,86.0,1.96,105.0,105.0,105.0,47.0,47.0,47.0,77.0,77.0,77.0,0.35,0.35,1.96
-17.68644563,-4.4216114075,64.14500408817419,-0.8113147866666668,"{'Mg': 2.0, 'Pd': 1.0, 'Pt': 1.0}",Mg2PdPt,"['Mg', 'Pd', 'Pt']",3,0.0,0.0,9.063495794067236,8.9e-06,mp-864975,cubic,-28.0,4.0,36.0,4.0,110.0,110.0,110.0,110.0,-11.44,98.0,98.0,98.0,67.0,67.0,67.0,116.0,116.0,116.0,0.48,0.48,-11.44
-14.40875676,-3.60218919,68.39345301937449,-0.5778820399999995,"{'Mg': 2.0, 'Ag': 1.0, 'Pt': 1.0}",Mg2AgPt,"['Mg', 'Ag', 'Pt']",3,0.0,0.0,8.535652780602677,0.0023125,mp-864932,cubic,24.0,32.0,41.0,32.0,91.0,91.0,91.0,91.0,3.57,107.0,107.0,107.0,59.0,59.0,59.0,82.0,82.0,82.0,0.34,0.34,3.57
-23.06150915,-5.7653772875,64.87212191117706,-0.2590171658333329,"{'Mg': 1.0, 'In': 1.0, 'Ir': 2.0}",MgInIr2,"['Mg', 'In', 'Ir']",3,0.025905997437492445,0.0,13.401547945082804,5.79e-05,mp-865044,cubic,73.0,78.0,83.0,78.0,166.0,166.0,166.0,166.0,0.7,232.0,232.0,232.0,106.0,106.0,106.0,132.0,132.0,132.0,0.3,0.3,0.7
-24.64206789,-6.1605169725,64.73253735651416,-0.34400403833333293,"{'Mg': 1.0, 'Sn': 1.0, 'Ir': 2.0}",MgSnIr2,"['Mg', 'Sn', 'Ir']",3,0.0,0.0,13.530284859920837,0.0002322,mp-864906,cubic,-44.0,6.0,55.0,6.0,178.0,178.0,178.0,178.0,-11.27,159.0,159.0,159.0,100.0,100.0,100.0,187.0,187.0,187.0,0.48,0.48,-11.27
-16.07751189,-4.0193779725,66.20222699630686,-0.3031901450000003,"{'Mg': 2.0, 'Ag': 1.0, 'Ir': 1.0}",Mg2AgIr,"['Mg', 'Ag', 'Ir']",3,0.0005939349642849479,0.0,8.746261692498674,3.54e-05,mp-864976,cubic,15.0,29.0,43.0,29.0,100.0,100.0,100.0,100.0,9.12,110.0,110.0,110.0,67.0,67.0,67.0,96.0,96.0,96.0,0.37,0.37,9.12
-27.89752712,-4.649587853333333,85.6033776484318,-0.19698021138888913,"{'Ca': 1.0, 'Mg': 1.0, 'Ni': 4.0}",CaMgNi4,"['Ca', 'Mg', 'Ni']",3,0.008924814374999812,0.0,5.803056315971546,0.8568024,mp-13434,cubic,49.0,50.0,51.0,50.0,106.0,106.0,106.0,106.0,0.19,159.0,159.0,159.0,59.0,59.0,59.0,80.0,80.0,80.0,0.29,0.29,0.19
-34.4776414,-2.8731367833333334,339.7894561692393,-0.43682071611111145,"{'Ca': 4.0, 'Mg': 4.0, 'Pb': 4.0}",CaMgPb,"['Ca', 'Mg', 'Pb']",3,0.0,0.0,5.308866100892907,3.825e-06,mp-861738,orthorhombic,26.0,26.0,26.0,26.0,36.0,36.0,36.0,36.0,0.04,70.0,67.0,76.0,28.0,26.0,25.0,17.0,16.0,24.0,0.21,0.21,0.04
-20.78379418,-2.5979742725,185.03471830317892,0.11229363687500005,"{'Ca': 1.0, 'Mg': 6.0, 'Nb': 1.0}",CaMg6Nb,"['Ca', 'Mg', 'Nb']",3,0.16788129663548723,0.0,2.5021367587960577,0.0420888,mp-1023193,tetragonal,20.0,25.0,30.0,25.0,42.0,43.0,44.0,43.0,2.83,89.0,86.0,86.0,8.0,40.0,40.0,34.0,34.0,1.0,0.26,0.26,2.83
-9.59024496,-2.39756124,117.0153682766501,-0.3106849608333331,"{'Ca': 2.0, 'Mg': 1.0, 'In': 1.0}",Ca2MgIn,"['Ca', 'Mg', 'In']",3,0.0,0.0,3.1117395206082534,0.0079543,mp-867350,cubic,14.0,19.0,23.0,19.0,30.0,30.0,30.0,30.0,3.48,40.0,40.0,40.0,34.0,34.0,34.0,26.0,26.0,26.0,0.25,0.25,3.48
-8.49756246,-2.8325208199999996,86.48643671630585,-0.3029696094444443,"{'Ca': 1.0, 'Mg': 1.0, 'Sn': 1.0}",CaMgSn,"['Ca', 'Mg', 'Sn']",3,0.2588951916666682,0.0,3.5153845026392734,0.0005903,mp-962068,cubic,15.0,19.0,24.0,19.0,125.0,125.0,125.0,125.0,3.03,136.0,136.0,136.0,35.0,35.0,35.0,120.0,120.0,120.0,0.43,0.43,3.03
-37.09699214,-3.0914160116666665,328.04106620456713,-0.561864801111111,"{'Ca': 4.0, 'Mg': 4.0, 'Sn': 4.0}",CaMgSn,"['Ca', 'Mg', 'Sn']",3,0.0,0.0,3.707256324199338,5.95e-06,mp-4864,orthorhombic,29.0,29.0,29.0,29.0,40.0,40.0,41.0,40.0,0.08,76.0,72.0,83.0,34.0,29.0,28.0,17.0,20.0,29.0,0.21,0.21,0.08
-16.60437518,-4.151093795,58.98125279680348,-0.1740379833333341,"{'Mg': 1.0, 'In': 1.0, 'Ni': 2.0}",MgInNi2,"['Mg', 'In', 'Ni']",3,0.01274983538194352,0.0,7.2216937360278814,0.0016042,mp-19929,cubic,29.0,41.0,52.0,41.0,104.0,104.0,104.0,104.0,4.14,124.0,124.0,124.0,77.0,77.0,77.0,94.0,94.0,94.0,0.33,0.33,4.14
-18.18336227,-4.5458405675,58.55765804761721,-0.2586319433333335,"{'Mg': 1.0, 'Ni': 2.0, 'Sn': 1.0}",MgNi2Sn,"['Mg', 'Ni', 'Sn']",3,0.0,0.0,7.384300812736397,0.0027758,mp-30774,cubic,36.0,45.0,55.0,45.0,114.0,114.0,114.0,114.0,2.62,141.0,141.0,141.0,78.0,78.0,78.0,101.0,101.0,101.0,0.33,0.33,2.62
-21.40715259,-3.567858765,88.14587676089928,-0.11029104388888851,"{'Mg': 1.0, 'In': 1.0, 'Cu': 4.0}",MgInCu4,"['Mg', 'In', 'Cu']",3,0.0,0.0,7.409327159327277,0.0009799,mp-30587,cubic,20.0,24.0,27.0,24.0,97.0,97.0,97.0,97.0,1.85,113.0,113.0,113.0,38.0,38.0,38.0,89.0,89.0,89.0,0.39,0.39,1.85
-10.14934764,-3.38311588,60.64948706135281,-0.15365002444444423,"{'Mg': 1.0, 'Cu': 1.0, 'Sn': 1.0}",MgCuSn,"['Mg', 'Cu', 'Sn']",3,0.0,0.0,5.655490701660548,9e-07,mp-11361,cubic,29.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0,0.14,95.0,95.0,95.0,34.0,34.0,34.0,47.0,47.0,47.0,0.3,0.3,0.14
